name,size,nodes,edges,memory,parsing,ast,cfg,cg,pdg,total,ast edges,cfg edges,pdg edges,cg edges,parsing (%),ast (%),cfg (%),cg (%),pdg (%),Language,ast2 (%),cfg2 (%),pdg2 (%),cg2 (%)
500.perlbench_r,"1,964",878930,2467006,175.87,1915,1933,4357,0,37134,45339,816628,927724,645531,77123,4.22%,4.26%,9.61%,0.00%,81.90%,C,33.10%,37.61%,26.17%,3.13%
502.gcc_r,"6,964",3057520,9579118,642.24,7930,7417,19539,2510,218572,255968,2847446,3272961,1648844,1809867,3.10%,2.90%,7.63%,0.98%,85.39%,C,29.73%,34.17%,17.21%,18.89%
505.mcf_r,56,30001,88827,6.14,116,69,163,0,851,1199,28273,29835,30167,552,9.67%,5.75%,13.59%,0.00%,70.98%,C,31.83%,33.59%,33.96%,0.62%
508.namd_r,636,342914,812765,64.05,783,742,1932,0,4163,7620,329210,344840,134124,4591,10.28%,9.74%,25.35%,0.00%,54.63%,C++,40.50%,42.43%,16.50%,0.56%
510.parest_r,"2,190",1058741,3450819,226.47,2647,2568,4427,439,23429,33510,1004932,1056747,633480,755660,7.90%,7.66%,13.21%,1.31%,69.92%,C++,29.12%,30.62%,18.36%,21.90%
511.povray_r,909,406483,1426704,90.06,897,852,2089,0,255918,259756,384355,414625,603609,24115,0.35%,0.33%,0.80%,0.00%,98.52%,C++,26.94%,29.06%,42.31%,1.69%
519.lbm_r,29,14609,55166,3.36,77,36,86,0,1189,1388,13896,14266,26810,194,5.55%,2.59%,6.20%,0.00%,85.66%,C,25.19%,25.86%,48.60%,0.35%
520.omnetpp_r,"1,524",657935,4250553,205.01,1629,1576,5061,4739,10669,23674,620317,642444,427767,2560025,6.88%,6.66%,21.38%,20.02%,45.07%,C++,14.59%,15.11%,10.06%,60.23%
523.xalancbmk_r,"3,404",1490520,13656933,587.35,3490,3151,11637,20404,19851,58533,1415615,1471826,834504,9934988,5.96%,5.38%,19.88%,34.86%,33.91%,C++,10.37%,10.78%,6.11%,72.75%
525.ldecod_r,476,223919,624156,44.67,567,433,1232,0,4212,6444,214180,224906,178346,6724,8.80%,6.72%,19.12%,0.00%,65.36%,C,34.32%,36.03%,28.57%,1.08%
525.x264_r,592,282057,864055,58.65,665,534,1499,0,6182,8880,270891,281893,293236,18035,7.49%,6.01%,16.88%,0.00%,69.62%,C,31.35%,32.62%,33.94%,2.09%
526.blender_r,"9,944",3404577,44117917,"1,735.99",7404,7345,34978,94125,82005,225857,3226204,3332077,2325337,35234299,3.28%,3.25%,15.49%,41.67%,36.31%,C++,7.31%,7.55%,5.27%,79.86%
531.deepsjeng_r,112,56579,158048,11.30,176,129,553,0,1293,2151,53573,57219,46346,910,8.18%,6.00%,25.71%,0.00%,60.11%,C++,33.90%,36.20%,29.32%,0.58%
538.imagick_r,"1,216",552541,1601101,112.10,1379,1202,3170,0,29985,35736,517151,566861,488054,29035,3.86%,3.36%,8.87%,0.00%,83.91%,C,32.30%,35.40%,30.48%,1.81%
541.leela_r,272,135532,383998,27.23,314,249,486,0,2034,3083,127789,130150,96757,29302,10.18%,8.08%,15.76%,0.00%,65.97%,C++,33.28%,33.89%,25.20%,7.63%
544.nab_r,122,59974,172558,12.13,191,110,258,0,2294,2853,56496,60326,54709,1027,6.69%,3.86%,9.04%,0.00%,80.41%,C,32.74%,34.96%,31.70%,0.60%
557.xz_r,136,57866,185763,12.29,154,101,264,0,9855,10374,54826,57170,72251,1516,1.48%,0.97%,2.54%,0.00%,95.00%,C,29.51%,30.78%,38.89%,0.82%